,data
331,"✅ Trip Verified |  I cancelled my Air India tickets in April 2021, I have not fully refunded my money back yet. I have called and e-mailed several time, no response from anybody at all. There is significant delay in refunding money, the same is happing to my friends with Air India. Some of my friends still waiting for refunds for more than a six months. Nobody from Air India is accountable for this poor service. Very pathetic customer service. Decided not ever plan to use in the future this air lines again."
332,"✅ Trip Verified |  My son who is a minor was booked on a non-stop flight Dubai to Bengaluru. Suddenly I receive this message saying flight is re-scheduled Dubai-Delhi-Bengaluru, where he needs to waste 12 hours of precious time at Delhi airport to take the Bengaluru flight and now I get another message saying he has to fly Dubai-Delhi-Cochin-Bengaluru. Is this airline out of their minds? Especially during Covid time instead of operating direct flights re-scheduling via via. What nonsense is this I do not understand. Never take this flights."
333,"✅ Trip Verified |  They cancelled flight last year in April 2020 due to lockdown, since then we are chasing for your refund and till date I am sending emails, writing them on twitter but their services are so pathetic, they have no system or SOPs to handle issues related to refund. If you check their Twitter Account everyday people are asking for refund but they give pre scripted typical answers to everyone. There is a scam it seems, many customers have given up, their hard earned money been eaten up by Air India."
334,"✅ Trip Verified |  The bad experience starts as soon as you enter the Airport at the check in desk. No availability of online-check in, no line management for different types of check in (at the counter, online). After 45 minutes of standing in the queue, as there were not enough Staff for the number of passengers checking in, boarding began with the boarding pass being checked minimum 4 times (could never understand why this happens on Indian domestic and International flights only). No inflight entertainment, seats were broken. Food was the only plus which made the journey bearable. Overall- very disappointed, and it seemed from their lacklustre service that Air India just doesn't care. No improvement during the return leg of the journey from Del-Fra. They capitalised on the Passengers vulnerabilty during the Holidays by putting in service the old-worst serviced planes. PS: the prices were 1,5 times the normal prices."
335,"✅ Trip Verified |  Very poor food, flight is very dirty and seats are not comfortable and even found a panel laying side to the seat. Entertainment system barely works and don't have any options so it is better not to work. They don't do any sort of maintenance inside the flight."
336,"✅ Trip Verified |  While booking LHR-COK with return it will show up connecting via Bombay, Delhi or Bangalore with long waiting to COK, but return will be direct from COK-LHR. We all book as at least we can have a nonstop flight from COK. But they will cancel the flight 4 or 5 days before your return journey. Then will end up with finding another airline with huge amount of fare. Partial refund from Air India will take 9 months and the maximum partial refund will be £150 per ticket. Don’t ever use Air India."
337,"✅ Trip Verified |  Worst experience ever. Changing a flight is a pain - you have to contact customer service and it takes forever and is not transparent. Flights are super old - my moms entertainment system screen was white for the entire trip and didn’t work. Mine wouldn’t turn on. Seats seem like they’re over 10 years old with all kinds of stains. Flight delays galore, all the flights were delayed by at least half hour and the worst was 3 hours. "
338,"Not Verified |  The worst customer service. We booked a flight for a later date which had to be preponed. We called the customer service department and requested to reschedule the flight to a month earlier. We paid the fare difference and in spite of all that we were not given the itinerary. We called them for three days literally, 20 times. Now, they are asking us to pay more amount. We requested for full refund and they are only giving us 600 rupees out of 6000. I am going to make sure that I never book any tickets from this airline."
339,"✅ Trip Verified |  I booked the flight mainly because of the cheap fare compared to other airlines (due to covid only a few options were available). Check-in and boarding were smooth. They served good food on time, however, did not serve any drinks (coffee/tea/ alcohol). It was at the back of the airlines for self-service. Cabin crews were good to help. The most disastrous incident was not working og inflight entertainment. I just can not imagine that time how to pass nearly 14 hrs without any entertainment. I would download some movies/ songs if I knew earlier. Air India does not provide inflight internet. In most of the seats, inflight entertainment system was not working. Touch screens are hardly working. On the second leg (Delhi to Kolkata), it was of approx 2hrs flight without any inflight entertainment/internet service. Also, the air conditioning was not properly working on the ground. It was very suffocating after wearing mask and face shield. Air India is one of the two domestic airlines that provide hot meals. But they serve the only veg meal. The meals were so so."
340,"Not Verified |  Flight was okay to travel as we don't have many choices in Pandemic. Staff were helpful. However, none of the phone chargers were working because they were all broken. I was lucky that my phone was charged and did not need to use it. In this day and age, all information and important documents are on the phone so phone chargers should be available."
341,"✅ Trip Verified |  After avoiding Air India for years, I was forced to spend my hard earned money on them for a round trip between IAD and MAA because of the Indian government forbidding sixth freedom traffic under the covid air bubble agreements. I had very low expectations, and Air India was as bad as I feared. The Indian government should get out of the business of running an airline as soon as possible. Every aspect of this trip was subpar, and given a choice, I cannot imaging why anybody would ever travel on this airline. Here are all the ways in which they were bad: 1) Their web site is terrible, and it wouldn't accept my Lufthansa frequent flyer number, even though there is a section for entering partner airlines membership numbers. The web site also wouldn't allow me to request a special meal, and it gave absolutely no explanation for why. From some google research, I realized this might be due to covid precautions 2) I made 2 separate calls to their customer service center to try and address the above issues. The amount of background noise during both calls made it seem like their reps were sitting in the middle of New Delhi railway station for their calls. I could barely hear or understand what the reps were saying. They supposedly entered my Lufthansa number for me, but as I could tell when I printed my boarding pass, it wasn't entered properly, and it didn't work. I had to claim my miles via Lufthansa after the flight On a separate call, the rep took my special meal request and entered it, but didn't seem to know, or didn't bother to tell me that special meals were not possible during Covid 3) My itinerary was IAD-DEL-MAA, on different B787s for each leg. I flew business class, and the product is really sub par. The seats are grimy, the upholstery was torn on one of the legs, the seat power didn't work properly. Worst of all for me, the moving maps didn't work on both IAD-DEL and DEL-IAD legs. Also, the flat bed isn't long enough for my 6'3"" height. The pillow they give is a joke. The cabin crew were nice enough, but I really didn't like the heavy/greasy Indian food I was forced to eat on some of the legs. The food on the MAA-DEL leg even gave me severe digestion problems. 4) Air India lounges were open in DEL or MAA, supposedly due to Covid, but other private lounges were operating, so it seems like Covid was just an excuse. 5) On a couple positive notes, all my flights were on time, which was a blessing, and the prices of the business class ticket was well below pre-pandemic business class levels."
342,"✅ Trip Verified |  Horrible experience with customer care and staff. Customer care promised me 30kg as I had next day international flight, but they charged me 5040 rupees for 8kg. Really horrible and low level service. They don't understand your concern. "
343,"✅ Trip Verified |  I had decided to use my miles to redeem the flight from Mangalore after having a good vacation and was able to successfully book the flight and select my seat without any issues. The check in and baggage drop was quick and easy. The load on this flight was on the lighter side and so as a result the flight was by and large very uneventful. Boarding also started well ahead of time and as far as the inflight service was concerned, only a drink was provided. The arrival and baggage collection was also done swiftly. For a journey which was redeemed using miles, it was worth the value and the process was very smooth. "
344,"✅ Trip Verified |  The Ticketing staff at Delhi Terminal 3 is worst. I had to stand for 2 hours just to drop bags even after e-checking and when my turn came I was thrown here and there and charged Rs 20,000 for luggage weight. I don’t Mind giving the amount if it’s the rule and is legit. The desk person let go a girl without even weighing her carry on telling her, why do you want to weigh it, if you can lift it, that means it’s not that’s heavy, and the same guy charged me around Rs 600 per kg. I don’t mind doing that but what I saw him doing with that girl is totally unprofessional. Save yourself from a rude experience by not traveling by Air India."
345,"✅ Trip Verified |  My original travel date was on 16th January and flight has been re-scheduled three times. Worst thing is that their call centre staff are so rude, so never again!!"
346,"✅ Trip Verified |  The staff are not at all polite. They are so rude and are doing things in their on will. Not following protocols or any rules. I was flying from Cochin to Delhi then to Toronto in a Air India connection flight. The Air India staff from Delhi did not let me fly even when I had a valid PCR report with me. They were so rude and they stopped me from boarding telling that they need to verify my result. The supervisor at the Delhi Airport was being so irresponsible and later was not clearly saying anything about why I'm not eligible to travel. Then he later apologized and told me he will book one ticket for me the next day.  I stayed there from 1 am in the morning to 11 am talking to everyone in Air India asking about this issue. No one responded in a good way and even was laughing at me. The supervisors are even worse with no responsibility. They even took back my boarding pass from Delhi to Toronto to take away the proof. Worst ever flight experience and I lost 1 lakh 10,000 rupees for a new ticket. They didn't even refund me or didn't do anything even when they did the wrong thing to me. "
347,"✅ Trip Verified | On this flight from Kolkata to Bangalore, when I tried to do the web check in, I came to know that the flight got rescheduled by 2 hours which was unexpected and not exactly welcome as we were hoping to save some time. Also when doing the web check in, I was also surprised to see that the system was unable to recognize the PNR which was quite strange, however the mobile check in was successful and even though the timing of the flight was uncertain, just 1 day before the departure, the airline provided a confirmation of the flight timings via SMS. The baggage drop and ground process was quick and smooth. Boarding was on schedule and the departure was also slightly delayed by 15 mins due to the air show in Bangalore. However the crew made up for the time en-route. The airline has also resumed full meal service and lunch was provided which was a welcome addition. The meal was good and nice and we landed 5 minutes ahead of schedule which was good. The web check in experience could have been better and also the rescheduling was not exactly welcome but the inflight experience was quite nice and the crew was very good in looking after the passengers. I would fly with Air India again in the future for the right price and timing convenience but they need to try to minimize the rescheduling of flights."
348,"✅ Trip Verified |  Worst staff behaviour ever! My flight was 16:15 on jan 25th but it reschedule by 20 min earlier to 15:55 on the same day. I reached airport (boarding pass counter) at 15:05. They checked I have done my web checking also, immediately they said the luggage belt is close but boarding is going on but I can’t go with my luggage. I have to throw it there. I said I’ll carry my with me in hand luggage but still they not ready. Finally after five minutes they argued I decide to throw my 1 luggage in dustbin so at least I can go, but still they said we don’t have time to to do all this. Very rude arrogant attitude they have."
349,Not Verified |  I am having such a terrible experience with Air India airline. I forgot my baggage in the aircraft and there is absolutely no response from the airline. Have been waiting at the airport for an hour. They bluntly reply that they don't have any staff to pick up the bag and they can't do anything about it. I have never experienced such an unresponsive and cold attitude on behalf of airline staff. I don't think I will choose Air India flight again.
350,"Not Verified |  I booked the ticket for my parents from Assam to Bangalore via Kolkata as there were no direct flight available on the particular date and i booked it only on the basis of the waiting period which was very less compared to the other flights. However on the day the flight which was suppose to take off at 8:30 and reach Bengaluru by max 3pm on the same day took off at 11 from Assam which is understandable because it can get quite foggy during winter. But after reaching Kolkata there was no information or any message from the airline regarding the delayed flight to Bengaluru. My dad has a chronic kidney disease and its difficult to travel for long hour and moreover they are not frequent flyers. Not even a single staff from air India passed any kind of information and on enquiry they simply raised their eyebrow with that arrogant attitude. I wonder what they are so proud of I just wish i had their names. The airline completely forgot their customer. Such a terrible airline. There is more to it, so the flight was delayed from Kolkata to Bengaluru via Hyderabad again by LEGIT 11hr which was also unsure of. Finally they boarded the flight at 10:50pm and reached Bengaluru at 3pm. Overall these airline have the worst attitude towards their customer. "
351,"✅ Trip Verified |  Average airline with terrible customer service and unacceptable corporate behavior. Completely disgusted with my experience. After a year of chasing Air India for a refund due to a flight that they cancelled, I have yet to receive a single cent. I did not even find out about the cancellation until after I arrived to the airport and was informed at the check in counter. Apparently they tried to call me once and I didn't pick up. No email notification, nor text...nothing. Several emails went by without a response. For months I waited, repeatedly calling customer service, until I received an email saying they would only issue a refund when things returned ""to normalcy."" Now it has been 12 months. Half of the time you call their number, you will get a message saying it's the wrong number. The other half of the time it won't go through at all. When you finally reach them, you receive service from staff so incompetent it's obvious they were not even given basic training of how to look up information in their system. You feel sorry for them as they fumble around. I won't even blame the call center staff, as it's obvious the responsibility lies on the complete negligence of the Air India management to run an efficient operation. Why are airlines allowed to get away with this behavior? Any other business would have been shut down a long time ago. This is not a review of the flight experience itself, which is generally average, but if you can fly with a better airline, absolutely do it."
352,"✅ Trip Verified |  Every time there a bad experience with Air India. This time I’m flyng Amritsar from Delhi. I’m currently in flight right now and writing this review. Before this there was a huge line for boarding where before entering the craft they were taking the luggage as there no space for luggage in the craft. While asking the reason for that they were silent. As per my knowledge one baggage is allowed per person so how come all the space is full? No explanation at all. When the lady sent me further where the guy is putting a luggage tag got offended when I asked him why is this happening. Rude staff, bad experience as always."
353,✅ Trip Verified |  We were coming back to canada from india on 31 of December and we faced a lot of problems on the Delhi airport the staff of Air India was so unprofessional and rude. The staff didn’t even know what documents they are required to check. They don’t mention anything before you book the ticket that what documents they are going to ask from you on airport for just giving you the boarding pass. How can a marriage certificate is required to get your boarding pass. Moreover we did online check in and booked our seats but on the airport they are giving us separate seats. It is not possible to sit separately from your family for a flight of 15 hours and then if you tell them to solve the issue they don’t even listen to you. Travelling with Air India was our worst experience till now. I hope this review will taken into consideration and steps will be taken to make the service better in future.
354,"✅ Trip Verified |  Having flown with this airline for quite some time, it is for the first time I feel compelled to write a review which is essentially to highlight the zeal and enthusiasm of two Air India staff. Ruwan at the ticketing counter and Rohit at the boarding gate, had sparkle in their eyes, spring in their steps and an infectious smile while attending to all sorts of queries of passengers yet not letting the guard down in these Covid challenging times. There pro customers behaviour and keenness to take that extra step for our satisfaction and making us comfortable is praiseworthy. "
355,"✅ Trip Verified |  I booked the return ticket ($ 682) for my mother-in-law in Dec 2019 for travel date on 29 Dec 2020. Firstly, they deducted the money but didn't send the ticket. After numerous calls they finally gave the duplicate itinerary. Later due to COVID-19, the flight was cancelled. After numerous calls to their Customer Confusion Number, I could not get single value for cancellation charges. I got values from $100 to $ 400. They also told that under Melbourne to Delhi flight we still need to pay extra $ 1300. Total ticket price was coming almost three times the normal fare with no guarantee of flights. I immediately booked ticket for my mother in law in charter flights for only $ 1095. I submitted request for cancellation of e-ticket on 24 Nov 2020 to the specified email but did not received any response. After numerous calls they finally said that I need to lodge a ticket and the helpdesk, the details for which is no where mentioned on the website. In their initial response they informed that I should wait for 3-4 weeks with no mention of amount which will be credited. I am still counting at 34 days with no sign of refund. Wish I had the clock used by Air India as mine seems to be ticking too fast."
356,"✅ Trip Verified | Toronto to Delhi with Air India. Worst airline ever. Short on meals. Short on right about everything. No coffee available, short on drinks. Terrible service. Screens onboard didn't work."
357,Not Verified |  Toronto to Amritsar. I was flying along with my husband and son. We mentioned our vegetarian meal while booking and we told the crew member as well about our meal option. But they gave us chicken. We asked to replace the food. They gave us new ones but didn’t even say sorry.
358,✅ Trip Verified |  Be very careful when booking flights through this carrier. If you happen to cancel the tickets due to unexpected reasons you will not get your funds back. I have been waiting for almost 31 days now and the cost of the tickets around 3000 USD is not being refunded by Air India. None of their call center folks will give a response. All call center employees will direct you to ecommerce.airindia email id. No response will come form that ID. How can one keep funds with them for services not provided.
359,"✅ Trip Verified |  Bengaluru to Kolkata. The flight was relatively sparse and check in was a breeze although at Bangalore airport the safety checks were at a higher level and the fares were quite reasonable which was good. The flight was on time and boarding started well in advance. The only thing that was an issue was the screen guards which were provided. I could not see anything with them on which didn't make sense because just a couple of months earlier, the screen guards were proper. So it must have been an exception. Landing also happened well ahead of schedule. At a time when all private carriers are trying to profit from this situation, Air India seems to be flying reliably during these times. Keep up the good work."
360,"✅ Trip Verified |  Chennai to Delhi. Worst airline, double regular fare, horrible seats, jittery flight and food terrible. The cabin crew would not offer a mask when the mask I was wearing snapped."
361,"Not Verified | Probably the worst airline I've ever flown, paid just over 1000€ for business Class only to be moved down to Economy just after boarding, when I asked why the flight Crew said that Business Class was overbooked by 1 person, even though the business Class was almost empty. The plane took off on time, My IFE was not working for the Entire flight, I had a meal served About 2 hours into the flight, but it was disgusting. Cabin crew were relatively friendly, I don't credit this to Air India, as Indians are relatively friendly. The made the flight a little bit better for me. Air India wouldn't refund because I still got to my destination Even though I didn't get the Class I paid for."
362,"✅ Trip Verified |  I had booked an Air India flight for the 23rd of June from Mumbai to Auckland and also had a confirmed ticket. And because of the Covid19 situation, After a lot of difficulty i found a domestic flight and flew from Bangalore to Mumbai to catch my flight. Unfortunately, i get to know they have rescheduled the flight to July 2nd after reaching there, and they didnt not bother to inform their passengers via mail or message about the same. They made me stand and wait for hours when i went to inquire and lied to me saying the flight had been cancelled and blamed it on the immigration. Many passengers like me who traveled to Mumbai, are stranded here and nowhere to go. Air India agreed it is their mistake and refused to provide any solution. Since we could not go out of the airport and had nowhere to go, we had to pay 9000rs per day and stay at the airport hotel for 9 days, total 72000rs (which was not affordable and we had to shell out all our savings). Air India has played with passengers emotions, made them waste lakhs of rupees, left them in helpless situations and separated them from families and left them alone to suffer. This is unacceptable and inhuman. Very rude staff at Air India counter in Mumbai."
363,Not Verified |  I was supposed to travel to india through Air India flight from Stockholm to Delhi and Delhi to Hyderabad on 24th july 2020. i booked the flights through supertravel site. Air India cancelled the flights and now they are asking me to cancel my booking so that they can get all the penalty money where i will end up getting back 5% of what i paid. Neither Super Travel nor Air India helping me to get back my refund. As per international airline policies i should get back 100% refund but they are pointing to each other so that they dont need to pay back my money. Both the companies has worst customer care service. They never help you but instead they force you to cancel. And Air India never responds to your mails
364,Not Verified |  Delhi to Ranchi. Air India customer service staff very poor communication and also don't reply quickly.  Very poor service provider and don't have any manner to Air India ground staff as well as call service center staff
365,"✅ Trip Verified |  Delhi to Bengaluru. The load factor was quite full. Departure and arrival was on time and the crew were active to ensure that passengers follow the rules and norms during this time. Again there was no food and beverages except water served. I was able to reach my destination safe securely and Air India is still happening to run flights, though their prices are higher than average. This crisis has shown a face of the airline that is otherwise not seen by the regular public."
366,"✅ Trip Verified |  Mumbai to Delhi by Air India. Me and my partner had purchased tickets to go to our final destination but as there was no direct flights, we had to book the flight to our destination via Delhi. The booking process was smooth especially when you consider that during the covid-19 crisis, most carriers were busy cancelling flights,  however we noticed that Air India flights were operating and looking at the previous record of flights we decided to go ahead with them. The tickets were on the high side but in these times having an airline actually fly instead of cancelling the flight is a game changer. The boarding actually started well before the scheduled time and as there were lots of passengers flying, a Boeing 777 was used instead of the Airbus. There was no food on this flight and for those allotted the middle seats, we had to wear the PPE equipment provided by the airline. Departure and arrival were both on time. So bravo Air India for once again coming to the nations rescue not only during the Vande Bharat missions but also during these difficult times. My impression of Air India during this crisis has increased leaps and bounds."
367,"✅ Trip Verified |  I was supposed to visit India this month, my flight was booked from London to Kolkata as initially I was about to fly to UK and from there to India but due to this pandemic situation my flight from Auckland to London got cancelled and I received refunded by Airnz, I expressed my situation to Airindia as I will no longer be able to travel this year as New Zealand border for overseas travelling will be closed but they didn't show any empathy rather just juggled up with wrong information. First they said they will refund half of the money I paid on my flight ticket which would be considerable at this stage but now they confirmed I will get no refund at all? Is this called an ethical customer service? The whole world is going through a big crisis and everyone should be cooperative to one another but yet Air India still robbing people. "
368,"✅ Trip Verified |  Most unethical airline ever. I had a booking with delta but Air India is not letting other airlines operate, forcing ppl to book their flights at 3 times the cost. My original Delta flight is $693, Air India charged me $1450, plus I need to book two other connecting flights separately. The reason given is other airlines May assign middle seats, whereas Everyone has crossed out middle seats Except Air India. Also Air India has quoted travel rules that go against international laws. I’m stuck here since 3 months and out of funds, now they are robbing me of my last reserves. The last time I travelled, they had no counter in Toronto Pearson airport, no announcement, flight departed early, next day on the flight the toilet was so disgusting it was a slap in my face. Service, food, entertainment everything was on the same level as the toilet. I pledge to never travel by Air India."
369,Not Verified |  We book a flight to Diu from Mumbai and it was early morning 7.30 am flight so we reached the airport by 5.30 to know that the flight is cancelled and there was huge crowd for the same flight. No representative or any person from airline was available to answer the queries / questions by all customers. We had a baby along with us who is just 3 year old and there were other passengers with infants struggling to know why the flight was cancelled. While i am writing this till that time we have not received any cancellation message or email. Pathetic service and highly not recommended to fly via this airline. If the airline does not send me any email or message i dont know if my money will come back or its donated to the airline. Please please don't go by this airline at all.
370,Not Verified |  I booked this airline for my parents to travel to India. The flight date is 27th May. The Airline canceled the flight due to COVID-19 and is giving us two bad options 1) Rebook the ticket and the travel has to finish before 31 Mar 2021. My parents can only go there during summer vacation. This summer vacation is gone... not enough time to rebook for the next summer. 2) Cancel the ticket and cancellation charges are $350/person. I asked can I just not show up and cancel the flight in June and the representative only mentioned that the cancellation charges then would be different but could not tell me how much different ... lower/higher/same/similar. So I'm paying $700 to AirIndia for canceling the flight on me and offering no reasonable alternative. Needless to say I had to wait a really long time on the customer service call. My queue position during the call went from over 90 to 11 to 15 to 19 and 17 and then I suddenly got a call. I have no clue why they bothered to even have a queue on the call. Their chatbot or automated service does not really work.
371,"✅ Trip Verified |  Chicago to Ahmedabad via Delhi, we booked for this May 2020 and again we are very disappointed. Due to this Coronavirus we want to cancel our tickets which we have on May 18,2020. As we live in Illinois we have lock down till May 30 2020 and so do india till May 17, but still they told us for cancellation for our tickets they will charge 400$ per ticket which is pathetic. I paid 800$ for whole ticket and I want to fly, but due to lock down they are not flying any flights still they wants to charge me 400$ per ticket for cancellation."
372,"Not Verified |  Toronto to Ahmadabad via Delhi. This airline is charging $525 CAD cancellation fees for cancelling flights during the COVID-19 situation. People around the world are in isolation. International travelers are being put quarantine. None of the International Consulates are operating in India. Is this airlines expecting people to travel in these circumstances? Customer care number was also declining calls, calls were getting dropped after getting picked up after being in the queue for a long time."
373,"Not Verified |  This airline is charging $400 cancellation fees for cancelling flights during the COVID-19 situation. People around the world are in isolation. International travelers are being put quarantine. None of the International Consulates are operating in India.  Is this airlines expecting people to travel in these circumstances? Customer care number was also declining calls, calls were getting dropped after getting picked up after being in the queue for a long time. They don't respond to emails."
374,"✅ Trip Verified | Delhi to Hyderabad. My ticket was booked for 16th April 2020, and suddenly Air India has stopped its bookings. No information was given about the tickets that are already booked. I've tried calling the airlines but none of the contacts was ready to take the calls. It seems to be very irresponsible being the biggest carrier. Even the official site of the airlines is also incomplete without any information."
375,✅ Trip Verified | New Delhi to Bangkok. Ticket had been bought the day before from an airport agent. Check-in was quick and straightforward. The queue was very short. Boarding was uncomplicated and efficient. The flight took off and landed on time. I asked for and received an exit row seat. The seat was reasonably comfortable and there was plenty of leg room. Dinner was served about an hour after take off. I declined the meal because I had eaten in the terminal but from what I saw it seemed to be OK. I wanted to rest so I did not try the IFE. Baggage was waiting for me on arrival at the belt because I had an excessive delay getting medical clearance for Bangkok.
376,✅ Trip Verified | Melbourne to Delhi. Anyone reading this review please please save yourself by not booking with this airline. Booking system to the website to the customer service is very poor. Imagine you call them and they disconnect phone after waiting for 2 hours and call centre had no clue how to resolve queries. what a third-rated airline. Due to the Corona Virus where all good airlines offered a refund or full credit and longer exchange dates but Air India choose to mint money. Bunch of greedy jokers. Please pay a bit extra and use a different airline and you will thank me later.
377,"✅ Trip Verified | Due to bad weather my flight couldn't land at the final destination and was diverted to another city. No basic assistance was offered to any passenger, and long story short, we slept at the airport and arrived at the final destination 24h later than the original ETA. A flight compensation, refund, or cancelation report was refused to all passengers. If I was Indian, I would feel ashamed of having such a rubbish company representing my country and my flag. Next time I will spend 30$ more to fly with any other airline."
378,"Not Verified | Delhi to Melbourne. Not a good 12-13 hour flight. No entertainment, no footrest, no window shade (button missing with tape over) unserviced washrooms with broken panels - this is the scenario after delayed take-off and no announcements. Only 2 staff for an almost full cabin so no smile or attention there. The food is only a choice of vegetarian or non-vegetarian; both Indian and spicy - even the one we were woken for at 3 am! For this we were charged $1600 one way, which reduced the next day to $1100! Obviously taking advantage of people needing to get home before the curfew then when plane was fully booked, making the price appear more reasonable. The only way this airline could be surviving is because they have non stop flights between destinations that no one else services. Terrible."
379,"✅ Trip Verified |  Paris to Chennai via Delhi. Worst airline ever. This is the first and last time I'll travel with Air India. I just couldn't believe it. The plane was worst than a low-cost.  The seats were torn, arm rest not working, service very limited (foil paper on the plates), toilet not flushing, taps not working, stinks, headphones not working, entertainment poor. I will never travel by this airline again."
380,"✅ Trip Verified |  Madrid to Delhi. Worst airline ever. Old and dirty aircraft, bad food and the worst of all is the customer service. If you need it they will leave you for hours and hours waiting in the phone, and of course you have to pay for it, it's not a free call. Then if you are lucky and they pick up the phone, after several hours, then the nightmare starts, they pass you from one agent to other to finally hang out or just put you again up to waiting calls, no giving answers, not giving solutions. Now in the middle of the coronavirus crisis, they don't care about customers. And another nice detail is they can change your flight when they like, as many times as they like just by sending you an email. Never use it, you will regret it."
381,✅ Trip Verified |  Copenhagen to Mumbai via Delhi. Was struck by the filthiness and age of the airplanes of Air India. Boeing 787's aren't that old but airplane felt 20 years old. Dirty and worn down. Food was very poor and I ended up not eating at all to be honest. Cabin crew was OK but not especially friendly. Booked emergency exit row so had LOTS of leg space which I think helped. Uneventful trip overall. Delhi-Mumbai leg was flown with a Boeing 747 that actually WAS 20 years old. Worn out and dirty. But good legspace also in economy and we were served snacks and drinks on this 2 hour flight. Landed a bit delayed and was 1 hour late out of Delhi. Enforced priority boarding on both flight (I am Star Gold) which is appreciated. Overall OK airline a good value for money. Only airline flying directly from Scandinavia to India so a good choice.
382,"✅ Trip Verified |  Mumbai to London Heathrow. Always delayed. Terribly old and tatty planes. Seats are expensive, but what you get for your money makes no sense. Broken seats, arm rests, media units etc. Staff do not care, as they are used to having the same comments from passengers daily. Won't use them again."
383,"✅ Trip Verified |  Surat to Delhi. Its a worst airline I ever had. The flight was delay by 1 hour and we got notification and once we reach the airport they told it is delayed by 3 hours and because of that I missed my connecting flight. And when I went to talk to the Air India airport staff, One of the member told that they can't do anything as their responsibility is to transfer the passenger from one city to other. They don't care about the time and they are not afraid of anyone if we file a complain. As I asked for compensation, they told me that ""it's my fault that I booked a flight from Air India, So they will not help me for new tickets or not give any compensation."" They should learn some manners as they were really rude and they are not ready to help at all. I am personally saying, never fly with Air India. Worst Airline and worst staff ."
384,"Not Verified |  Toronto to Delhi. We had the worst experience. To start with the flight was delayed by 1:30 hour from Toronto, followed by the entertainment not working on the seat assigned, issue was raised to the flight personnel multiple times with no action or resolution provided. After 5 hours demanded to speak to supervisor who did not have any kind of explanation to it, we asked for a change of seat which was refused as well, we did fill a feedback form and no one has replied back on the same. The flight was more than half empty in first and business class and they should have the least provided us to change seats, the airline representative themselves blamed the airline and said this is what it is deal with it. The supervisor even mentioned that entertainment is not a part of the price paid so deal with it."
385,"✅ Trip Verified |  Delhi to Bengaluru. My flight was at 19:25 and so I left my home at 17:00 and reached the airport at 17:45 and there when I checked in using self check-in machine. It gave me error that contact service agent and so I went to the check-in counter and there lady sitting told me that your flight has been changed., I thought that seat of whole passenger of flight is changed and she gave me ticket of another aircraft (AI 547) which has to take off at 21:00. And then I saw display board and my flight was on time and then nobody changed my flight back to 19:25 giving reason that your baggage is already loaded and it will take time to get it back. Very bad experience.  Still I am waiting for my flight here on terminal 3 of New Delhi and the time is 18:47."
386,"✅ Trip Verified |  
Delhi to Thiruvananthapuran. We had checked in on line and paid for extra leg room seats 11E and 11F. When we arrived at the airport the departure board showed that we needed to check our baggage at desk G. When we went to the queue we were told to go desk F,which we did under the sign that said checked baggage only. However the display clearly stated that this row was for international flights and when we queried this with at least a further Air India staff, they all said the same thing. The queue was long and slow and we appeared to be the only non Indian people in the queue. It just didn't seem right, so I went back the the first person who had directed me from desk G to F who then amazingly said I should go the desk G. I refused to do this and insisted that she check me in. She just glared at me and it was only I complained to her colleague that they agreed top do this. After a lot of muttering between them that printed tickets for seats 27A and 27B. I pointed out that I had paid for 11E and 11F, and again after further muttering a dirty looks I eventually got thje right seats. At no time did they apologise or make eye contact. This is the worst treatment we have had from any airline."
387,"✅ Trip Verified |  London to Mumbai. The check-in  process is a disaster, a member of staff was untrained and took to long to check me in. As soon as I was inside the airport, I've got a message mentioned that my flight was delayed for almost 3 hours, completely unacceptable."
388,✅ Trip Verified |  We were supposed to board the flight from Bangalore to Male at 1.50 pm on Feb 20th 2019. As I write this review time is 9.45 pm and we are still waiting for Cabin Crew. What a laughable reason. Staff and Air India team is irresponsible. This is terrible experience. 
389,"✅ Trip Verified | I flew on Feb 15 from Amritsar to New York via Delhi by Air India flight 101. my seat was 45H, audio input was broken and I can't hear anything. The 15 hours flight was so boring."
390,"✅ Trip Verified |  Agartala to Kolkata. I was traveling with my elder sister who is more than 70 years old. The airline staff were really caring and helpful in the entire process of check in, boarding, deboarding, and luggage collection. They took special care to arrange equipment so that my sister can easily reach her seat. Actually, she was not able to use stair to reach her seat."
391,"✅ Trip Verified |  Kolkata to Raipur via Jharsuguda. Although for Raipur it was an one-stop early morning flight, I selected for a very low cost. The flight was clean and leg space was sufficient. They served a puff and sandwich for short flights. However, the cons of the flight are all passengers traveling to Raipur need to deboard at Jharsuguda, did the security, and reboard. As the same aircraft is going to Raipur, the airline may reduce passengers' pain by checking the boarding pass within the flight or at least just at the outside of the aircraft."
392,"✅ Trip Verified |  On time departure, nice in flight entertainment. Good meal, drinks on board and co-operative staff. Slept for more than 5 hours out of 8 hrs of journey.  I had flown Air India around 10 times mostly domestic. "
393,✅ Trip Verified |  Delhi to Milan. Onboard screens not working for most passenger. Controls for cabin windows did not work (nobody could sleep) 1 hour delay for 1 trip 30 minutes delay for return trip. Food intoxication on first trip. Do not fly with this company.
